--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
050.871  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.889  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.901  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.918  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.929  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.944  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.954  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.972  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.991  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
051.002  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
051.012  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
051.030  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
051.045  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
051.056  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
051.067  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
052.302  000.018  000.018: sourcing /home/frerebo/.local/share/nvim/lazy/highlight-current-n.nvim/plugin/highlight_current_n.vim
052.307  000.056  000.038: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
052.313  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
052.327  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
054.179  000.039  000.039: require('vim.treesitter.language')
054.213  000.031  000.031: require('vim.func')
054.251  000.036  000.036: require('vim.treesitter._range')
054.291  000.037  000.037: require('vim.func._memoize')
054.316  000.237  000.095: require('vim.treesitter.query')
054.329  000.321  000.084: require('vim.treesitter.languagetree')
054.334  000.380  000.059: require('vim.treesitter')
054.337  000.440  000.060: require('nvim-treesitter.compat')
055.242  000.800  000.800: require('nvim-treesitter.parsers')
055.311  000.065  000.065: require('nvim-treesitter.utils')
055.317  000.929  000.064: require('nvim-treesitter.ts_utils')
055.321  000.983  000.053: require('nvim-treesitter.tsrange')
055.364  000.042  000.042: require('nvim-treesitter.caching')
055.373  001.640  000.175: require('nvim-treesitter.query')
055.383  001.880  000.240: require('nvim-treesitter.configs')
055.385  002.307  000.427: require('nvim-treesitter-textobjects')
055.600  000.046  000.046: require('nvim-treesitter.info')
055.661  000.058  000.058: require('nvim-treesitter.shell_command_selectors')
055.677  000.213  000.110: require('nvim-treesitter.install')
